Name,SA,description,latitude,longitude
Los Angeles County Department Of Health Services - Los Angeles County And Usc Healthcare Network - Child / Adolescent Psychiatry - Outpatient,SA4,The clinic provides mental health services for youth who live in Los Angeles County.,34.05966686,-118.205327
Los Angeles County Department Of Mental Health - Administration,SA4,The department provides mental health services for people in Los Angeles County.,34.06403022,-118.2914462
Archdiocese Of Los Angeles - Hiv/Aids Ministry,SA4,The organzation provides HIV/AIDS services through its pastoral outreach to people living with AIDS/HIV and their families in Los Angeles County.,34.060923,-118.207859
Teen Line,SA4,The program provides counseling services for adolescents in Los Angeles County and throughout California.,34.07519878,-118.3808303
NAMI - Urban Los Angeles,SA4,"This is a mental health community action group for Los Angeles County.  It  is a program of the National Alliance on Mental Illness, a private, non-profit organization which is supported by client donations and independent fund raising.",34.00562982,-118.3316555
AIDS Project Los Angeles (APLA),SA4,"The agency provides HIV/AIDS services, housing services and volunteer opportunities for people of all ages who live in Los Angeles County.  Individuals must be HIV  or have AIDS for some services.  Services are provided at multiple locations.",34.06295221,-118.30303
Mental Health Advocacy Services,SA4,The agency provides legal services for people with mental and developmental disablilities people in Los Angeles County.,34.0620034,-118.2932044
Portals Community Connections,SA4,,34.0151249,-118.3090625
"Exodus Recovery Inc.,",SA4,,33.9626737,-118.291926
SISTAHFRIENDS,SA4,,34.0067246,-118.338483
Special Services for Groups (SSG) Weber Community Center,SA4,,33.988573,-118.268607
Hill Street Community Wellness Center,SA4,,34.0212239,-118.273613
Stay Free Alcohol and Drug Program Counseling Service (SFADPCS),SA4,,33.970834,-118.26484
Mental Health America,SA4,,34.0620034,-118.2932044
West Central Mental Health,SA4,,34.0061298,-118.3389085
St. John's Well Child And Family Center,SA4,"The center provides counseling, dental services, health services for low-income people of all ages who live in the Los Angeles County area.",34.0394684,-118.2863066
St. John's Well Child And Family Center - Dr. Louis C. Frayser Community Clinic,SA4,"The center provides counseling, dental services, health services for low-income people of all ages who live in the Los Angeles County area.",33.99020334,-118.2872543
St. John's Well Child And Family Center - Lincoln Heights Clinic At Lincoln High School,SA4,"The center provides counseling, dental services, health services for low-income people of all ages who live in the Los Angeles County area.",34.07605147,-118.2038366
Gateways Hospital And Mental Health Center,SA4,The hospital provides mental health services for adolescents age 13 to 17 and adults age 18 and older who live in Los Angeles County.,34.08448625,-118.2565908
Los Angeles County Department Of Mental Health - Northeast Los Angeles,SA4,"The center provides mental health services for adults welfare-to-work support services mentally/emotionally disturbed persons who live in the Northeast Health District which includes Lincoln Heights, Highland Park, El Sereno, and parts of Glassell Park.",34.1043291,-118.1842706
Los Angeles County Department Of Mental Health - Edmund D. Edelman Westside Mental Health Center,SA4,"The center provides mental health services, and employment services for adults with mental/emotional disturbance in the Santa Monica and west area of Los Angeles.",34.04027945,-118.4373893
Aviva Family And Children's Services,SA4,"The agency provides adoption and foster care services for adults, 21 and older, outpatient mental health services for youth and families, and residential mental health services for adolescent girls, 12 to 18 and education services with a special education Non-Public Special High School for grades 7 through 12.",34.10375743,-118.3453513
Free Spirit: For Victims Of Domestic Violence,SA4,The agency provides a battered women's shelter and welfare-to-work support services for women with children who are in Los Angeles County.,34.042963,-118.26415
St. Anne's Residential Facility,SA4,"The agency provides a maternity home for pregnant or parenting teens, or those who are at risk of becoming pregnant in Los Angeles County.",34.07169749,-118.2789406
Los Angeles County Department Of Mental Health - Hollywood Mental Health Center,SA4,"The center provides mental health and welfare-to-work services for adults in Central Health District, in Hollywood and surrounding communities.",34.09325699,-118.3264637
Los Angeles County Department Of Mental Health - Downtown Mental Health Center,SA4,"The agency provides mental health services, employment services and welfare-to-work support services in the Downtown area of Los Angeles.",34.04479069,-118.2474337
Los Angeles County Department Of Mental Health - Augustus F. Hawkins Family Mental Health Center,SA4,"The center provides mental health services and welfare-to-work support services, primarily for adults and children who live in South Central Los Angeles and surrounding communities.",33.92416472,-118.2428303
Los Angeles County Department Of Health Services - Los Angeles County And Usc Healthcare Network - Adult Psychiatric Outpatient,SA4,The program provides mental health services for adults and youth age 18 and older who live in Central Los Angeles.,34.05781968,-118.2100815
Ucla Resnick Neuropsychiatric Hospital - Adult Psychiatric Inpatient Service,SA4,The program provides inpatient mental health services for adults.,34.072723,-118.444604
Ucla Resnick Neuropsychiatric Hospital - Adult Partial Hospital Program,SA4,The program provides mental health services for adults in Los Angeles.,34.06572715,-118.4452127
Special Service For Groups - Asian Pacific Residential Treatment Program,SA4,"The agency provides advocacy, child care, HIV/AIDS services, holiday assistance, interpreter and translator services, personal goods, services for non-profit organizations, services for older adults, substance abuse services, and youth services in Los Angeles County.",34.0328811,-118.2994769
Asian Pacific Counseling And Treatment Centers - Metro Center,SA4,The centers provide mental health services and welfare-to-work support services for the Asian/Pacific Islander community.,34.04396586,-118.2618042
West Central Family Mental Health Center,SA4,"The center provides mental health services, employment support services, and welfare-to-work support services for adults who live in the Los Angeles area.",34.00624693,-118.3386657
Los Angeles Child Guidance Clinic,SA4,The clinic provides mental health services for youth and young adults and welfare-to-work support services for the families of TANF recipients from two locations.,34.02665659,-118.2918243
Los Angeles Child Guidance Clinic - Leimert Park Site,SA4,The clinic provides mental health services for youth and young adults and welfare-to-work support services for the families of TANF recipients from two locations.,34.00332278,-118.3320129
Los Angeles Child Guidance Clinic - Exposition Park Site,SA4,The clinic provides mental health services for youth and young adults and welfare-to-work support services for the families of TANF recipients from two locations.,34.01745639,-118.2917586
Hillsides Community Center,SA4,"The agency provides family support services, residential mental health services, special education for families of children with disabilities, and transiional housing for emanicipated former foster youth in Los Angeles.",34.06053287,-118.2585073
Chinatown Service Center,SA4,"This is a health and human service organization that provides advocacy, business services, disaster services, family planning services, health insurance, health services, legal services, mental health services, utility bill assistance, and WIA programs.",34.06255374,-118.2398691
Orange County Deaf Equal Access Foundation,SA4,"The agency provides services for people with disabilities of all ages who are deaf or hearing impaired who live, primarily, in Orange County and the southeast part of Los Angeles County.",33.80982718,-118.0268351
Golden West - Sro Housing Corporation,SA4,The agency provides low-cost housing for homeless and low-income adults in the Skid Row area of downtown Los Angeles.,34.04449767,-118.2443187
Los Angeles Unified School District - Mental Health Center - Los Angeles,SA4,The center provides mental health services for Los Angeles Unified School District students who live in central Los Angeles.,33.94843273,-118.2660162
Kedren Community Mental Health Center,SA4,"The center provides inpatient mental health services, and mental health services for people of all ages who live, primarily, in the South Central and Southeast areas of Los Angeles.",34.00720946,-118.265431
"Korean Health, Education, Information And Research Center",SA4,"The agency provides adult day care, advocacy, health services and services for older adults primarily for the Korean community in the Koreatown area of Los Angeles.",34.06369995,-118.3038047
"Behavioral Management Group, Inc. - Los Angeles Office",SA4,The agency provides counseling services for court referred individuals.,34.05701385,-118.3767175
Heritage Clinic - Los Angeles,SA4,The center provides services for older adults and their families and professional education for people who provide services to older adults.,34.07169749,-118.2789406
Violence Intervention Program - Community Mental Health Center,SA4,"The agency provides adult protective services, child abuse services, domestic violence services, health services for foster children, and mental health services for victims of child abuse/neglect, domestic violence, sexual assault, elder abuse and dependent adult abuse in Los Angeles County.",34.0632172,-118.2116297
Alafia Mental Health Institute,SA4,The agency provides mental health services for youth up to age 24 in Los Angeles County.,34.00913223,-118.3391558
Tessie Cleveland Community Service Corp.,SA4,The agency provides mental health services for children in South Los Angeles.,33.96643521,-118.2477226
Los Angeles New Life Center Inc,SA4,The agency provides counseling services to adolescents and adults who live in Los Angeles County.,34.04091559,-118.308806
Crystal Hope Medical Services Inc,SA4,"The agency provides mental health and substance abuse services for adults, youths and young adults ages 12 through 21 who live in Los Angeles County.",34.04727568,-118.2703598
Silver Lake Medical Center,SA4,"Welcome to our website. Silver Lake Medical Center is a 212-bed hospital offering a wide variety of services for both body and mind. Our hospital is accredited by the leading hospital accrediting organization in the country. We strive daily to earn a reputation for <strong>providing high quality healthcare in a safe, caring and compassionate manner</strong>. While we hope that you will not need our services, we also hope that you will choose or recommend Silver Lake Medical Center should the need arise.",34.06966042,-118.2634594
Los Angeles Therapy Center And Associates - Silverlake Blvd.,SA4,The center provides information and referral to people who live in Los Angeles County.,34.10040534,-118.2607209
Los Angeles County Department Of Mental Health -  Hollywood Mental Health Center - Wellness Center,SA4,"The center provides mental health and welfare-to-work services for adults in Central Health District, in Hollywood and surrounding communities.",34.09787921,-118.2984449
Special Service For Groups - Older Adults Program,SA4,"The agency provides advocacy, child care, HIV/AIDS services, holiday assistance, interpreter and translator services, personal goods, services for non-profit organizations, services for older adults, substance abuse services, and youth services in Los Angeles County.",34.04396586,-118.2618042
Los Angeles Trade Technical College - Career Resource Center,SA4,The school provides employment services and post-secondary education to people who live in Los Angeles County.,34.03302573,-118.2700367
Children's Institute Inc - Mid-Wilshire Office Building Two,SA4,"The agency provides child abuse services, child care, family support services, foster care services, mental health services, school readiness, substance abuse services and welfare-to-work support services for people of all ages and their families in Los Angeles County.",34.05931624,-118.2930338
Personal Growth Institute - West Los Angeles,SA4,The agency provides mental health services to people of all ages who live in Los Angeles County.,34.06579915,-118.4596631
National Veterans Foundation,SA4,The agency provides services for veterans in Los Angeles County and throughout the United States.,33.94646935,-118.386264
Aviva Community Mental Health Services - Outpatient,SA4,"The agency provides adoption and foster care services for adults, 21 and older, outpatient mental health services for youth and families, and residential mental health services for adolescent girls, 12 to 18 and education services with a special education Non-Public Special High School for grades 7 through 12.",34.06156381,-118.3028023
Center For Health Justice,SA4,The organization provides ex-offender and inmate services related to HIV education/prevention for LGBT men and women incarcerated or paroled from the Los Angeles County jail system.,34.05754503,-118.23253085
Augustus Hawkins Mental Health Center,SA4,,33.9239729,-118.241751
Pacific Clinics/Portals,SA4,,34.0151249,-118.3090625
NAMI (National Alliance for the Mentally Ill) – South Central Los Angeles,SA4,Family Resource Center,33.9456784,-118.2547354
SA 6 Advisory Committee (SAAC) West Central Mental Health,SA4,,34.006534,-118.339152
Kedren Community Mental Health Center,SA4 ,,34.007385,-118.266952
OASIS House,SA4 ,,33.99480728,-118.29080343
American Health Services - El Dorado Community Service Centers - Venice,SA5,"The agency provides health services, mental health services and substance abuse services for people of all ages who live in the Los Angeles County area.",33.99936,-118.464143
Step Up On Second - Full Service Partnership Transitional Age Youth Program,SA5,The agency provides services for seriously mentally ill people who reside primarily in Santa Monica and other West Los Angeles communities.,34.02305142,-118.4493813
Step Up On Second,SA5,The agency provides services for seriously mentally ill people who reside primarily in Santa Monica and other West Los Angeles communities.,34.015376,-118.49816
Alcohol Drug Council - High Gain Project,SA5,The agency provides substance abuse services to people of all ages who live in the West Los Angeles area.,34.015982,-118.49489
Antioch University Counseling Center,SA5,The center provides mental health services for people of all ages who live in the coastal area of Los Angeles County.,33.988613,-118.384636
Family Service Of Santa Monica,SA5,The agency provides mental health services for people of all ages in the Santa Monica area.,34.02147819,-118.4839631
Culver-Palms Center - Didi Hirsch,SA5,"The agency provides counseling services; financial assistance for utility bills for Culver City residents for children, families and adults; mental health services; services for older adults; residential mental health services; residential treatment for substance abuse; substance abuse services; and welfare-to-work support services for people of all ages in Los Angeles County.",34.00879318,-118.4125023
La Vie Counseling Center - Santa Monica,SA5,The agency provides counseling services for people of all ages who live in Los Angeles County.,34.04086179,-118.4720157
Kohan International Foundation - Kohan Foundation Counseling Centers,SA5,The agency provides counseling services to individuals in Los Angeles County.,33.98952864,-118.3795468
Shields For Families Inc - Eden,SA6,"The agency provides child abuse services, domestic violence services, family preservation services, mental health services, residential substance abuse treatment, substance abuse services, vocational education services and youth services primarily for families who live in the South Central Los Angeles/Compton area.",33.923299,-118.225448
St. Francis Medical Center,SA6,"We operate a 384-bed acute care hospital, two community-based health clinics, and one of the largest and busiest private emergency trauma centers in Los Angeles County — treating 84,400 children and adults each year. Last year, more than 5,000 babies were born at SFMC’s Family Life Center, with 875 babies cared for in our state-of-the-art Neonatal Intensive Care Center.",33.92949178,-118.2033205
Compton Mental Health Center,SA6,,33.8962992,-118.2129978
Los Angeles County Department Of Mental Health - Compton Mental Health Center,SA6,"The center provides employment services and mental health services for adults with mental/emotional disturbance, who live in Compton, Huntington Park, Lynwood, Maywood, Paramount, South Gate, Vernon, and parts of Carson.",33.89652699,-118.2131883
Clear Path Counseling Center,SA6,The agency provides counseling services and substance abuse services to youth ages 12 to 17 and adults who live in Los Angeles County.,33.90506141,-118.2075723
St. Francis Medical Center  ,SA6,,33.929844,-118.203108
Shields For Families Inc. - Tamar Village,SA6,,33.9048671,-118.2071982
Lakewood Regional Medical Center,SA7,"Lakewood Regional Medical Center is proud to be a integral part of the Orange County community. From orthopedics to cardiac care to urology, we’ve received many designations for quality care. Although we appreciate these prestigious honors, we are most honored by the opportunity to serve you and your loved ones. We’re committed to finding new ways to improve and make our hospital the best place for patients, physicians and employees. We appreciate the opportunity to serve you, and we are here any time you need help.",33.8598696,-118.14869158
Los Angeles County Probation Department - Juvenile Institutions - Residential Treatment Services Bureau,SA7,The bureau provides correctional programs for youth who are wards of the Juvenile Court.,33.916891,-118.132942
Dorothy Kirby Center Mental Health Unit,SA7,,34.01174,-118.1697416
American Health Services - El Dorado Community Service Centers - Hawaiian Gardens,SA7,"The agency provides health services, mental health services and substance abuse services for people of all ages who live in the Los Angeles County area.",33.83401,-118.072321
Project Return Peer Support Network,SA7,The agency provides mental health services for people who have been deinstitutionalized from mental health inpatient and are recovering from mental illness.,33.9970867,-118.14929008
Los Angeles County Department Of Health Services - Rancho Los Amigos National Rehabilitation Center - Communication Disorders Department,SA7,The clinic provides services for people with disabilities who live in the Los Angeles County area.,33.92909945,-118.1579987
Low Cost Community Counseling Center,SA7,"The agency provides domestic violence services, mental health services and substance abuse services for children and adults.",33.93446944,-118.0906248
Pacific Clinics - El Camino,SA7,This is the administrative site of a comprehensive mental health agency that serves people who live in communities in Los Angeles County.,33.94710403,-118.082804
Pacific Clinics - Centro Familiar,SA7,This is the administrative site of a comprehensive mental health agency that serves people who live in communities in Los Angeles County.,33.94618077,-118.0830709
Alma Family Services,SA7,The agency provides services for people with developmental disabilities who live in Los Angeles County.,34.00092416,-118.0821327
Los Angeles County Department Of Mental Health - San Antonio Mental Health Center,SA7,"The center provides mental health services to children, adolescents and their families and welfare to work supportive services for adults who are referred through the DPSS/CalWORKS program.",33.98394181,-118.2241149
College Hospital,SA7,The hospital provides inpatient mental health services for people of all ages.,33.88432237,-118.1029872
Asian Pacific Counseling And Treatment Centers - Cerritos,SA7,The centers provide mental health services and welfare-to-work support services for the Asian/Pacific Islander community.,33.8724843,-118.0978533
American Health Services - El Dorado Community Service Centers - Tavarua,SA7,"The agency provides health services, mental health services and substance abuse services for people of all ages who live in the Los Angeles County area.",34.00693919,-118.0961102
Community Family Guidance Center,SA7,"The agency provides counseling services and welfare-to-work support services for children and youth in the cities of Artesia, Bellflower, Cerritos, Downey, Hawaiian Gardens, Lakewood, Norwalk, Paramount and other areas of Los Angeles county.",33.85875721,-118.1012208
Community Family Guidance Center - Downey,SA7,"The agency provides counseling services and welfare-to-work support services for children and youth in the cities of Artesia, Bellflower, Cerritos, Downey, Hawaiian Gardens, Lakewood, Norwalk, Paramount and other areas of Los Angeles county.",33.93752172,-118.1343049
Center For Integrated Family And Health Services - Whittier,SA7,The center provides counseling services for families in the San Gabriel Valley.,33.9805868,-118.0377224
Enki - Youth And Family Services - Margarita Mendez Center,SA7,The agency provides mental health services for adults in the East Los Angeles area.,34.01750343,-118.1546637
Enki - Youth And Family Services - City Of Commerce,SA7,"ENKI Health &amp; Research Systems, Inc. (ENKI), established in 1978, provides multicultural &amp; multilingual behavioral health services to SED children and adolescents and severely and persistently mentally ill adults throughout Los Angeles. Evidence Based Practices are offered for prevention and early intervention to children and youth, working with parents, caregivers and other agencies to provide effective, time-limited services.",34.0110825,-118.1579597
Los Angeles County Department Of Mental Health - American Indian Counseling Center,SA7,The center provides mental health services for Native Americans of all ages.,33.87004696,-118.0994433
"Gary Center, The",SA7,"The agency provides counseling services, dental services, education services and emergency food for individuals in Los Angeles County.",33.929252,-117.95327
West Advisory Christian Counseling Center,SA7,"The agency provides counseling services, domestic violence services, family life education, sexual assault services and substance abuse services for people who live in Huntington Park and surrounding areas.",33.9800889,-118.225098
Masada Homes - Bellflower Office,SA7,"The agency provides foster care services, mental health services and substance abuse services for children and families in Los Angeles and surrounding counties.",33.88184431,-118.1206784
Alma Family Services - Pico Rivera Office,SA7,The agency provides services for people with developmental disabilities who live in Los Angeles County.,34.00092416,-118.0821327
New Choices Counseling Center,SA7,The agency provides family life education for parents who live in Los Angeles County.,34.0100831,-118.108528
Brand New Day,SA7 ,,33.797108,-118.1711018
Long Beach Memorial Medical Center,SA8,"MemorialCare Health System offers an extensive network of compassionate care with advanced technology, leading hospitals and top docLong Beach Memorial Medical Center has been recognized as a major regional provider of medical and surgical services. Long Beach Memorial consistently achieves national accolades for its quality care, including being named as one of the U.S. top 125 hospitals by Consumers’ CHECKBOOK; named Top 100 Hospitals Cardiovascular by Thomson Reuters; and named one of “America’s Best Hospitals” for Orthopedics by U.S. News &amp; World Report magazine. Our state-of-the-art electronic medical record system ensures our patients receive the best, safest possible care.ors across the Southland.",33.8081073,-118.1867435
Providence Little Company Of Mary Medical Center - Recovery Center,SA8,"The hospital provides hospital services, inpatient treatment for substance abuse, mental health services, services for older adults, and substance abuse services for people of all ages in Los Angeles.",33.738067,-118.307462
Los Angeles Metropolitan Medical Center - Hawthorne Psychiatric Campus,SA8,The medical center provides hospital services and health education for people of all ages in Los Angeles County.,33.911939,-118.352222
1736 Family Crisis Center - South Bay Community Service Center,SA8,"The agency provides case management, counseling services, domestic violence services, family support services for low income families, runaway services, emergency and transitional shelter for battered women and their children, shelter for runaway/homeless youth, and welfare-to-work support services.",33.831319,-118.35272
American Health Services - El Dorado Community Service Centers - West County Long Beach,SA8,"The agency provides health services, mental health services and substance abuse services for people of all ages who live in the Los Angeles County area.",33.854001,-118.19349
American Health Services - El Dorado Community Service Centers - Inglewood,SA8,"The agency provides health services, mental health services and substance abuse services for people of all ages who live in the Los Angeles County area.",33.945152,-118.354001
Harbor View House,SA8,The agency provides mental health services for adults in Los Angeles County.,33.735609,-118.280597
Beach Cities Health District Community Care Services Department,SA8,"The agency provides health services to individuals age 0 to 65 and services for older adults age 60 and older or disabled adults age 18 and older, who live in the Beach Cities of Manhattan Beach, Redondo Beach and Hermosa Beach.",33.85201328,-118.3788906
A Home For Us Foundation Inc - Counseling Satellite,SA8,The agency provides counseling services and substance abuse services to individuals who live in Los Angeles County.,33.9289722,-118.352527
Mental Health America Of Los Angeles,SA8,The association provides mental health services for individuals in Los Angeles County.,33.769172,-118.192428
Los Angeles County Department Of Mental Health - Coastal Asian Pacific Islander Family Mental Health Clinic,SA8,The clinic provides mental health services and welfare-to-work support services for people of all ages in Los Angeles County.,33.90287,-118.30389
Del Amo Behavioral Health System Of Southern California,SA8,The hospital provides inpatient mental health and substance abuse services for people of all ages in Los Angeles County.,33.810339,-118.344242
Salvation Army Corps Community Center - Long Beach,SA8,"This agency offers counseling services, emergency food, financial assistance, holiday assistance, social and recreational activities for youth and adults who live in Long Beach and Lakewood.",33.812001,-118.187736
City Of Long Beach Department Of Health And Human Services - Central Facilities Center,SA8,This is the public health agency for the city of Long Beach.,33.792806,-118.178304
Didi Hirsch Inglewood Center,SA8,,33.9640588,-118.3534297
"Crawford Ministries, Inc.",SA8,,33.9578289,-118.350436
Center For The Partially Sighted - South Bay Office,SA8,"The center provides services for people of all ages with low vision, including the legally blind, in Los Angeles County.",33.82467196,-118.3502219
Alma Family Services - Long Beach Office,SA8,The agency provides services for people with developmental disabilities who live in Los Angeles County.,33.76839725,-118.1866587
Los Angeles County Department Of Mental Health - South Bay Mental Health Services,SA8,"The center provides employment services, mental health services, and welfare-to-work support services for adults with mental/emotional disturbance who live in the South Bay area.",33.91691678,-118.3189686
Children's Institute Inc - Torrance Office,SA8,"The agency provides child abuse services, child care, family support services, foster care services, mental health services, school readiness, substance abuse services and welfare-to-work support services for people of all ages and their families in Los Angeles County.",33.85220781,-118.2903035
Childnet Behavioral Health,SA8,The agency provides foster care services and youth services for children and families in Los Angeles County.,33.78293951,-118.1336541
South Bay Children's Health Center - Child Guidance Clinic,SA8,"The center provides health services, mental health services, and a thrift store for youth and families in the South Bay area.",33.83260874,-118.315949
Los Angeles County Department Of Mental Health - Long Beach Mental Health Services,SA8,"The center provides employment services, mental health services, and welfare-to-work support services for adults in the Long Beach area.",33.79328386,-118.1899081
Los Angeles County Department Of Mental Health - San Pedro Mental Health Center,SA8,This center provides mental health services and employment services for adults who live in the South Bay.,33.7379854,-118.2808232
Inglewood Center - Didi Hirsch,SA8,"The agency provides counseling services; financial assistance for utility bills for Culver City residents for children, families and adults; mental health services; services for older adults; residential mental health services; residential treatment for substance abuse; substance abuse services; and welfare-to-work support services for people of all ages in Los Angeles County.",33.96628249,-118.3443027
Harbor Community Clinic,SA8,The agency provides counseling services and health services for people of all ages in the Harbor area.,33.73865181,-118.2898332
Autism Society Of America - Greater Long Beach / San Gabriel Valley Chapter,SA8,The organization provides services for people with disabilities related to Autism Spectrum Disorder.,33.793472,-118.121691
Los Angeles County Department Of Mental Health - Long Beach Child And Adolescent Program,SA8,"The agency provides outpatient mental health services to youth, age 18 and younger, who live in Long Beach.",33.79328386,-118.1899081
Arts And Services For Disabled Inc - Therapeutic Arts Program Ii,SA8,"The agency provides counseling services to residents in 90808, 90247 and 90250.",33.87880725,-118.3116392
Arts And Services For Disabled Inc - Encouraging Personal Independence,SA8,"The agency provides counseling services to residents in 90808, 90247 and 90250.",33.90531504,-118.3426013
Arts And Services For Disabled Inc - Cultural Education Center For The Arts,SA8,"The agency provides counseling services to residents in 90808, 90247 and 90250.",33.90218441,-118.3403476
Harbor View Community Services Center,SA8,The agency provides mental health services for youth and their families in the Long Beach area.,33.81878075,-118.1820591
Harbor Resource And Assistive Technology Center,SA8,"The HRC Resource and Assistive Technology Center provides family support and information services for parents of children, from birth to adulthood, who have developmental delays or developmental disabilities.",33.83634884,-118.3556265
Alafia Mental Health Institute - Gardena,SA8,The agency provides mental health services for youth up to age 21 in Los Angeles County.,33.89285911,-118.2845764
Idom Industries Inc.,SA8,The agency provides counseling services for youth and adults in Los Angeles County.,33.96428803,-118.3537598
Project Abc,SA8,"The agency provides administrative services, family life education and mental health services for expectant parents and parents of children from Birth to 5 in Los Angeles County.",33.82981787,-118.2989174
Heritage Clinic - Long Beach,SA8,The center provides services for older adults and their families and professional education for people who provide services to older adults.,33.83010002,-118.1854365
"Greenfields Health Services, Inc.",SA8,The agency provides mental health services and substance abuse services for adolescents and adults age 10 and older in Los Angeles County.,33.87242481,-118.2648108