latitude ,longitude,title,percent,estimate
34.095287,-118.12701,"""Alhambra""",6.10%," 17,000 "
34.686787,-118.15416,"""Antelope Valley""",6.60%," 19,000 "
33.88221, - 118.117981,"""Bellflower""",0.00%,0
37.7037,-120.98820,"""Central""",8.20%," 23,000 "
33.895847,-118.22007,"""Compton""",4.80%," 10,000 "
34.052235,-118.24368,"""East LA""",0.00%,0
34.115784,-117.30240,"""East Valley""",5.30%," 19,000 "
34.073334,-118.02750,"""El Monte""",7.10%," 24,000 "
33.787914,-117.85310,"""Foothill""",0.00%,0
 34.142509,-118.25507,"""Glendale""",0.00%,0
33.77005, - 118.193741,"""Harbor""",0.00%,0
34.134117,-118.32150,"""Hollywood-Wilshire""",7.20%," 31,000 "
33.961018,-118.35537,"""Inglewood""",3.40%," 11,000 "
33.77005, - 118.193741,"""Long Beach""",3.40%," 13,000 "
 34.156113,-118.13194,"""Pasadena""",0.00%,0
34.055103,-117.74999,"""Pomona""",6.90%," 30,000 "
34.1518, -117.6568,"""San Antonio""",3.90%," 12,000 "
34.281944,-118.43897,"""San Fernando""",4.70%," 19,000 "
34.0522666,-118.24368,"""South""",13.90%," 19,000 "
34.05223,-118.24368,"""Southeast""",9.30%," 12,000 "
34.052335,-118.24368,"""Southwest""",4.70%," 14,000 "
33.840763,-118.34541,"""Torrance""",2.70%," 10,000 "
34.03057,-118.46341,"""West""",1.90%," 11,000 "
,,,,