name1,street1,city,zip,county,phone,intake_prompt,website,latitude,longitude,mh,psy,rtcc,rtca,ores,ph,omh,cmhc,msmh,ipt,cft,gt,cbt,dbt,bmt,idd,tt,at,ect,tele,smon,smpd,smop,hi,res,phdt,op,vamc,sma,osg,lmg,tbg,ih,sf,md,mc,si,pi,mi,smha,swfs,scjj,sef,osf,clf,csbg,cmhg,vaf,cit,wi,ss,pa,ah,sp,co,gl,vet,adm,mf,cj,se,hv,trma,sed,smi,alz,ptsd,tbi,tay,ped,act,icm,cm,cdm,peer,coot,dec,es,fpsy,hs,imr,ipc,lad,nrt,nsc,prs,stu,sps,semp,sh,tpc,tcc,vrs,chld,yad,adlt,snr,itu,pvtp,pvtn,fqhc,vo,sumh,ccbhc,chlor,drope,fluph,halop,loxap,perph,pimoz,proch,thiot,thior,trifl,aripi,asena,brexp,carip,cloza,ilope,luras,olanz,olanzf,palip,queti,rispe,zipra,crt,emdr,kit,tms,peon,peoff,fg,pcf,dv,pefp,hivt,shb,shc,stdt,tbs,aot,ptm,msnh,f17,f19,f25,f28,f30,f31,f35,f36,f37,f4,f42,f43,f47,f66,f67,f70,f81,f92,n13,n18,n23,n24,n40
VA Greater Los Angeles Healthcare Sys,351 East Temple Street,Los Angeles,90012,Los Angeles,213-253-2677,Intakes,http://www.va.gov,34.0520292,-118.2385001,1,,,,,,,,,1,1,1,1,1,1,1,1,1,,1,1,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,1,,1,,,,,1,1,1,,1,1,1,,1,,1,,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,,,1,1,,1,1,1,,,,,1,1,,,,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
JWCH Institute/Wesley Health Ctrs,522 South San Pedro Street,Los Angeles,90013,Los Angeles,323-201-4516,Intake,http://jwchinstitute.org,34.0432489,-118.2437768,1,,,,,,1,,,1,1,1,1,,1,1,1,,,1,,1,,,,,1,,,,,,,1,1,1,1,1,,1,,,,1,1,1,1,,,,1,1,,1,1,1,1,,,,1,1,1,,1,,1,,1,,,1,1,1,1,1,1,1,1,1,,1,,,,,1,,,,,1,,,1,1,1,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
Para Los Ninos,849 East 6th Street,Los Angeles,90021,Los Angeles,213-623-8446 x224,Intakes,http://www.paralosninos.org,34.0401257,-118.2413167,1,,,,,,1,,,1,1,1,1,,1,,1,,,,1,,,,,,1,,,,,,,,,1,,,,1,1,,,1,1,,1,,,,,1,,1,,,,,,,,,1,1,,,1,,1,,,,1,,,,,,1,,,,,,,1,,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Asian Pacific Counseling and,1310 Wilshire Boulevard,Los Angeles,90017,Los Angeles,213-483-3000,,http://www.apctc.org,34.0530816,-118.2606109,1,,,,,,1,,,1,1,1,1,,1,1,1,,,1,,1,,,,,1,,,,,,,1,1,1,,,,1,1,1,,1,1,1,1,,1,,,1,,,1,,,,,,1,,,,1,,,,,,,,1,,1,1,,,,1,,,,,,1,,1,1,1,,,1,,1,1,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,1,1,,,,,,,,,,
SSG/Asian Pacific Counseling and,1310 Wilshire Boulevard,Los Angeles,90017,Los Angeles,213-483-3000,,http://www.apctc.org,34.0530933,-118.260626,1,,,,,,1,,,1,1,1,1,,1,1,1,,,1,,1,,,,,1,,,,,,,1,1,1,,,,1,1,1,,1,1,1,1,,1,,,1,,,1,,,,,,1,,,,1,,,,,,,,1,,1,1,,,,1,,,,,,1,,1,1,1,,,1,,1,1,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,1,1,,,,,,,,,,
Amanecer Community Counseling Service,1200 Wilshire Boulevard,Los Angeles,90017,Los Angeles,213-481-7464 x271,Intake,http://www.amanecerla.org,34.0529086,-118.2653159,1,,,,,,1,,,1,1,1,1,,1,1,1,1,,1,,1,,,,,1,,,,,,,1,1,1,1,,,,1,,,,1,,1,,1,,1,1,,1,1,1,1,,1,,1,,1,1,1,,1,,1,,,1,1,,,,,,1,1,,1,,,,1,,1,,1,,,,1,1,1,1,,,1,,,1,,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,,,,,,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wellnest,Adventist Health White Memorial,Los Angeles,90033,Los Angeles,323-373-2400,Intake,http://wellnestla.org,34.0494573,-118.2167639,1,,,,,,,1,,1,1,1,1,,1,,1,,,1,1,,,,,,1,,,,,,,,1,,,,,1,1,,,1,1,,,,,,,1,1,1,1,1,,,,1,,,1,1,1,,1,,1,1,,1,1,,,1,1,,1,,,1,,,,,,1,,,,,,1,1,1,,,,1,,,1,,,,,,,,,,,,,1,,,,,,,1,,,1,1,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dignity Health,1400 South Grand Avenue,Los Angeles,90015,Los Angeles,213-742-6250,,http://www.hopestreetfamilycenter.org,34.0368416,-118.2652246,1,,,,,,1,,,1,1,1,1,1,,1,1,,,,1,,,,,,1,,,,,,,,,1,,,,1,1,,,,,,,,,,,,,1,1,1,,,,,,,1,1,,,1,,1,,,1,1,,,1,,,1,,,,,,,1,1,1,,,,,1,1,1,1,1,,,1,,,,,,,,,,,,,,,,1,,,,,,,1,1,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Star View Community Services,1625 West Olympic Boulevard,Los Angeles,90015,Los Angeles,323-999-2404,,http://www.starsinc.com/los-angeles-county/,34.04995,-118.2748563,1,,,,,,1,,,1,1,1,1,,1,,1,,,1,,1,,,,,1,,,,,,,,1,,1,1,,1,1,1,1,1,1,,,,1,,,,1,1,,,,,,,,,1,1,1,,1,,1,,,1,1,1,,1,,,1,,,,,,,1,1,1,,,,,,1,1,1,,,1,,1,,1,,,,,,,,,,,,,1,,,,,,1,1,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillsides FRC,1910 West Sunset Boulevard,Los Angeles,90026,Los Angeles,213-201-5380,Intake,http://www.hillsides.org,34.0773897,-118.2613418,1,,,,,,1,,,1,1,1,,,1,1,1,,,1,,1,,,,,1,,,,,,,,1,,,1,,1,1,,,,1,,,,1,,,,,1,,1,,,1,,,,1,1,1,,1,,1,,,1,1,,1,1,,,,,,,1,,,1,1,1,1,1,,,,1,1,1,,,,1,,,1,,,,,,,,,,,,,1,,,,,,1,1,,,1,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAC USC Medical Center,1200 North State Street,Los Angeles,90033,Los Angeles,323-409-2800,,http://dhs.lacounty.gov/wps/portal/dhs/lacusc/gme/,34.0577573,-118.2081617,1,1,,,,,,,,1,1,1,1,,1,,,1,,,1,,,1,,,1,,,,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,,,,,,,,,1,1,,,,1,,,,1,1,,1,1,,,,,1,,1,1,1,1,,,,,1,,1,1,1,1,,,,,,1,,1,,1,1,1,,1,,,,1,1,,,,1,,1,1,,1,1,1,1,,,,,1,,1,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
SSG/Asian Pacific Counseling and,520 South Lafayette Park Place,Los Angeles,90057,Los Angeles,213-252-2100,,http://www.apctc.org,34.0636002,-118.2821251,1,,,,,,1,,,1,1,1,1,,1,1,1,,,,,1,,,,,1,,,,,,,1,1,1,,,,1,1,1,,1,1,1,1,,1,,,1,,1,,1,,,,,1,,1,1,1,,1,,1,1,,,1,,,1,,,,1,,,,,,,,1,1,1,,,1,1,1,1,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Didi Hirsch Mental Health Services,672 South La Fayette Park Place,Los Angeles,90057,Los Angeles,310-390-6612,Intakes,http://www.didihirsch.org,34.060185,-118.283754,1,,,,,,,1,,1,1,1,1,,1,,1,,,1,1,,,,,,1,,,,,,,1,,1,,,,1,1,,,,,,1,,,,,,,1,,,,,,,,,1,1,,,1,,,,,,1,,,,,,1,,,,,,,1,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gateways Hospital and MH Center,1891 Effie Street,Los Angeles,90026,Los Angeles,323-644-2000,Intakes,http://www.gatewayshospital.org/,34.085158,-118.256578,1,,,,,,1,,,1,1,1,1,,1,,1,,,,,1,,,,,1,,,,,,,1,,,,,,1,1,1,,,,,,,,,1,,,1,,,,,,1,,,1,1,,,1,,1,,,,1,,,,,,1,,,,,,,,,1,,,,,,1,1,,,,,1,,,1,,,,,1,,,,,,,,1,,,,,,1,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Childrens Bureau of Southern CA,1910 Magnolia Avenue,Los Angeles,90007,Los Angeles,213-342-0100,,http://www.all4kids.org,34.0394723,-118.285642,1,,,,,,,1,,1,1,1,1,,1,,1,,,1,1,,,,,,1,,,,,,,1,1,1,,,,,,,,1,1,,1,,,,,,1,1,,1,,,,,,,1,1,,,1,,,,,,1,,,1,,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northeast Mental Health Center,3303 North Broadway,Los Angeles,90031,Los Angeles,323-478-8200,,http://,34.0741129,-118.206315,1,,,,,,1,,,1,,1,1,1,,1,1,1,,1,,1,,,,,1,,,,1,,,1,1,1,1,1,,,,,,,1,,,,1,1,1,1,1,1,1,,,,,,1,,1,,1,,,,,,,1,1,,1,,1,1,1,1,,,,1,1,1,1,1,1,1,,1,1,,1,1,1,,,,,,1,,1,,1,1,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,1,1,,,1,,,,,,,,,,1,,1,,,,,,,,,1,1,,,1,1,,,,,,
APAIT a Division of SSG,3055 Wilshire Boulevard,Los Angeles,90010,Los Angeles,213-375-3830,,http://www.apaitonline.org,34.0622325,-118.2880455,1,,,,,,1,,,1,1,1,1,1,1,1,1,1,,1,,1,,,,,1,,,,,,,1,1,1,,,,,,,,1,1,,,,1,,,,,1,1,1,,,,,1,1,1,,,,1,,1,,1,1,1,1,1,1,,1,1,1,,1,,,,1,,1,,,,,1,,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,1,1,,,,,1,,,,,,,,,,,,1,,,,1,,,,,,
Pacific Clinics,679 South New Hampshire Avenue,Los Angeles,90005,Los Angeles,213-639-2660,Intake,http://www.pacificclinics.org,34.0606741,-118.293195,1,,,,,,,1,,1,1,1,1,,1,,,,,1,1,,,,,,1,,,,,,,,1,1,1,,1,1,1,1,,,1,1,1,1,1,,1,1,,1,1,1,1,,1,1,1,1,1,,1,,1,,,,1,1,1,,1,,,,1,,,1,,,,1,,,1,1,,,,,1,1,1,,,1,1,,1,,,,,1,,,,,,,,1,,,,1,1,1,1,,1,1,1,1,,,,,1,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,
Gateways Hospital and MH Center,3455 Percy Street,Los Angeles,90023,Los Angeles,323-268-2100 x567,Intakes,http://www.gatewayshospital.org/,34.0284749,-118.1986568,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,1,,,1,,1,,,,,,,,1,,,,,1,,,,,1,,,,,,,,1,1,,,,,,,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,1,,,1,,1,,,1,1,,,,1,,,,,1,,1,1,1,1,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Haven at College ,817 West 34th Street,Los Angeles,90089,Los Angeles,855-806-4266,,http://www.thehavenatcollege.com/,34.0231738,-118.2842734,1,,,,,,1,,,1,,1,1,1,1,1,1,,,1,,,1,,,,1,,,,,,,1,,,,1,,,,,,,,,,,1,,1,,,,,1,,,,,,,,,,,,,1,,,,1,,1,1,1,1,1,,,,1,,,,1,,,1,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Childrens Bureau of Southern CA,3910 Oakwood Avenue,Los Angeles,90004,Los Angeles,323-953-7350,Intake,http://www.all4kids.org/,34.077416,-118.292392,1,,,,,,1,,,1,1,1,1,,,,1,1,,1,1,,,,,,1,,,,,,,,1,,1,,,,1,,,,1,,,,1,,,,,1,,1,,,1,1,,,1,1,,,1,,1,,,,1,,,,,,1,,,,,,,1,,1,,,,,,1,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aviva Family and Childrens Services,3580 Wilshire Boulevard,Los Angeles,90010,Los Angeles,213-637-5000,Intake,http://www.aviva.org,34.0611215,-118.3028158,1,,,,,,1,,,1,1,,1,1,1,,1,,,,,1,,,,,1,,,,,,,1,1,,1,1,,1,1,1,,,1,1,1,,1,,1,1,,1,,1,,,,,,,1,1,,,1,,1,,,,1,,,,,,1,,,,,,,,,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,1,1,,,1,,1,1,,1,1,1,1,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heritage Clinic,3600 Wilshire Boulevard,Los Angeles,90010,Los Angeles,213-382-4400,Intake,http://www.heritageclinic.org,34.0605163,-118.3036379,1,,,,,,1,,,1,1,1,1,1,1,1,1,,,1,,1,,,,,1,,,,,,,1,1,1,,1,,,,,,,1,,,,,,,,,1,,,,,,1,1,,,,1,1,,,,,,1,1,,,1,,,1,1,,,,,,1,,1,,1,,,,,,1,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Wellnest,3787 South Vermont Avenue,Los Angeles,90007,Los Angeles,323-373-2400,Intake,http://wellnestla.org/,34.0173455,-118.291916,1,,,,,,,1,,1,1,1,1,1,1,,1,,,1,1,,,,,,1,,,,,,,,1,,,,,1,1,,,1,1,,,,1,,,1,1,1,1,1,,,,1,,,1,1,1,,1,,1,1,,1,1,,,1,1,,1,,,,,,,,1,1,,,,,,1,1,1,,,,1,,,1,,,,,,,,,,,,,1,,,,,,,1,,,1,1,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portals House Inc/Portals Community,3881 South Western Avenue,Los Angeles,90062,Los Angeles,323-290-4378,Intakes,http://www.pacificclinics.org,34.015039,-118.3091643,1,,,,,,1,,,1,1,1,1,,1,1,1,1,,1,,1,,,,,1,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,,,,,,,1,,,,1,,,,1,,1,1,1,,1,1,,,1,1,1,1,1,,,1,,1,1,1,,,1,1,1,1,1,1,,1,1,,1,,,,,1,,1,,,,,,1,,,,1,,1,1,1,1,1,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
ALMA Family Services,4701 East Cesar E Chavez Avenue,Los Angeles,90022,Los Angeles,323-881-3799,,http://almafamilyservices.org,34.04077,-118.164403,1,,,,,,1,,,1,1,1,1,,1,1,1,,,,1,,,,,,1,,,,,,,,1,1,,,,,,,,,1,,,,1,,,,,1,1,1,,,1,1,1,1,1,1,1,,1,,1,1,,,1,,1,1,,,1,,,1,,,,1,,1,,,,,,1,1,1,1,,,1,,,1,,1,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wellnest,5054 Vermont Avenue,Los Angeles,90037,Los Angeles,323-373-2444,Intakes,http://wellnestla.org/,33.9966843,-118.2911972,1,,,,,,,1,,1,1,1,1,,1,,1,,,1,1,,,,,,1,,,,,,,,1,,,,,1,1,,,1,1,,,,1,,,1,1,1,1,1,,,,1,,,1,1,1,,1,,1,1,,1,1,,,1,1,,1,1,,,,,,1,,1,1,1,,,1,1,1,,,,,1,,,1,,,,,,,,,,,,,1,,,,,,,1,,,1,1,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uplift Family Services,815 North El Centro Avenue,Los Angeles,90038,Los Angeles,323-769-7163,Intakes,http://www.upliftfs.org/,34.0855137,-118.3256933,1,,,,,,1,,,1,1,,1,,1,,1,1,,1,1,,,,,,1,,,,,,,,1,,1,1,,1,,,,,1,,,,,,,,1,1,,,,,,,,,1,1,,,1,,,,,,1,,1,,,,1,,,,,,,1,,,,,,,,1,1,1,,,,1,,,,,,,,,,,,,,,,1,1,,,,,1,1,,,1,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glendale Mem Hospital and Healthcare,1420 South Central Avenue,Glendale,91204,Los Angeles,818-502-1900 x2362,Intakes,http://www.dignityhealth.org,34.1280862,-118.2569564,1,1,,,,,,,,,,1,,,,,,1,,1,1,,,1,,,,,,,,,,1,1,1,1,1,1,1,,,,1,1,,,,1,1,,,1,,1,1,1,,,1,1,1,1,,1,,1,,1,,,,,1,,,,,1,1,,1,,1,1,1,1,1,,,,1,,,1,1,,,,1,,,1,,1,,,1,,,,,,,,1,,,,1,,1,1,,1,1,1,1,,,,,1,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Hollywood Mental Health Center,1224 North Vine Street,Los Angeles,90038,Los Angeles,323-769-6100,,http://dmh.lacounty.gov/,34.0933177,-118.32615,1,,,,,,1,,,1,,1,1,1,1,,1,,,1,,1,,,,,1,,,,1,,,1,1,1,,1,,1,1,,,,1,,1,,1,1,1,,1,1,1,1,,,,,1,1,1,,1,,,,,,,1,1,,1,,,,,1,,,,,,1,1,1,,1,,,1,,1,1,1,,,,,,1,,,,,1,,1,,,1,1,1,1,,,,1,,1,1,1,1,1,1,1,,,,,1,1,,,,,,,,,,,,,1,,1,1,1,1,,,,1,,1,1,,,1,1,,,,,,
Hillsides FRC,5400 East Olympic Boulevard,Los Angeles,90022,Los Angeles,323-869-9225,Intake,http://www.hillsides.org,34.0151135,-118.1556963,1,,,,,,1,,,1,1,1,,,1,1,1,,,1,,1,,,,,1,,,,,,,,1,,,1,,1,1,,,,1,,,,1,,,,,1,,1,,,1,,,,1,1,1,,1,,1,,,1,1,,,1,,,,,,,1,,,1,1,1,,,,,,1,1,1,,,,1,,,1,,,,,1,,,,,,,,1,,,,,,1,1,,1,1,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VA Greater Los Angeles Healthcare Sys,5426 East Olympic Boulevard,Los Angeles,90022,Los Angeles,323-725-7372,Intake,http://,34.0145179,-118.1554564,1,,,,,,,,,,,,,,,,1,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,1,,,1,1,1,,,,,1,1,,1,1,1,1,1,1,1,1,1,,1,1,,,,1,,1,1,1,1,1,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern California Health and,3850 South Crenshaw Boulevard,Los Angeles,90008,Los Angeles,323-751-3026,,http://scharpca.org,34.0174928,-118.3350659,1,,,,,,1,,,1,1,1,1,1,1,1,1,,,1,,1,,,,,1,,,,,,,,1,1,,,,1,,,,1,1,,,,1,,,,,1,1,,,,,1,,,,,1,,,,,,1,1,1,,1,1,,1,1,1,,1,,,,1,1,1,1,1,,1,1,,1,1,1,,,1,,,1,,,,,1,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillsides FRC,149 Pasadena Avenue,South Pasadena,91030,Los Angeles,323-274-3065,Intake,http://www.hillsides.org,34.1117485,-118.1728818,1,,,,,,1,,,1,1,1,,,1,1,1,,,1,,1,,,,,1,,,,,,,,1,,,1,,1,1,,,,1,,,,1,,,,,1,,1,,,1,,,,1,1,1,,1,,1,,,1,1,,1,1,,,,,,,1,,,1,1,1,1,1,,,,1,1,1,,,,1,,,1,,,,,,,,,,,,,1,,,,,,1,1,,,1,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tessie Cleveland Community Servs Corp,8019 South Compton Avenue,Los Angeles,90001,Los Angeles,323-586-7333,,http://www.tccsc.org,33.9660488,-118.2480026,1,,,,,,1,,,1,1,1,1,1,1,1,1,1,,1,1,,,,,1,1,,,,,,,1,1,1,,1,,,,,,,1,,,,1,,,,,1,1,,,,,1,1,,1,1,1,,1,,1,,,1,1,,1,1,,,1,,,,,,1,1,,1,,,,,,1,1,1,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Wellnest,4401 Crenshaw Boulevard,Los Angeles,90043,Los Angeles,323-290-8360,Intake,http://wellnestla.org/,34.003228,-118.3320404,1,,,,,,,1,,1,1,1,1,1,1,,1,1,,1,1,,,,,,1,,,,,,,,1,,,,,1,1,,,1,1,,,,,,,1,1,1,1,1,,,,1,,,1,1,1,,1,,1,1,,,1,,,1,1,,1,,,,,,,,,1,,,,,,1,1,1,,,,1,,,1,,,,,,,,,,,,,1,,,,,,,1,,,1,1,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hathaway/Sycamores Child/Family Servs,840 North Avenue 66,Los Angeles,90042,Los Angeles,323-257-9600,Intake,http://www.hathaway-sycamores.org/about-hathaway-sycamores/,34.1206366,-118.172231,1,,,,,,,1,,1,1,,1,,1,1,1,,,1,,1,,,,,1,,,,,,,,1,1,1,,,1,1,1,1,1,1,,1,,1,,,,,1,1,,,,,,,,1,1,,,1,,,,,1,1,,1,,,,1,,,,,,,,,1,,,,,,1,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Didi Hirsch Mental Health Services,1540 East Colorado Street,Glendale,91205,Los Angeles,818-244-7257,Intake,http://www.didihirsch.org,34.1422784,-118.2300479,1,,,,,,,1,,1,1,1,1,,1,1,1,,,1,1,,,,,,1,,,,,,,1,1,1,,1,,,,,,,1,,,,1,,,,,1,1,,,,,,1,,1,1,1,,1,,1,,,,1,,1,1,,,1,1,,,,,1,1,1,1,,,1,1,,1,1,1,1,,,1,,,1,,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,1,1,,,,1,,,,,,,,,1,,1,,,,,,,,,,1,,,1,,,,,,,
Hathaway/Sycamores Child/Family Servs,3741 Stocker Street,Los Angeles,90008,Los Angeles,323-733-0322,Intakes,http://www.hathaway-sycamores.org,34.0064992,-118.3386624,1,,,,,,,1,,1,1,,1,,1,1,1,,,1,,1,,,,,1,,,,,,,,1,1,,,,1,1,1,1,1,1,,1,,1,,,,1,1,1,,,,,1,,,1,1,,,1,,,,,1,1,,1,1,,,1,,,,,,,,1,1,,,,,,1,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillsides,940 Avenue 64,Pasadena,91105,Los Angeles,323-254-2274,Intake,http://www.hillsides.org,34.1244844,-118.1758621,1,,1,,,,,,,1,1,1,,,1,1,1,1,,,1,,,,1,,,,,,,,,1,1,,,1,,1,1,,1,,1,,,,1,,,,,1,,1,,,,,,,1,1,,,1,,,,,1,1,,,1,,1,,,,,1,,,1,1,1,,,,,,1,,,,,,1,,,1,,,,,,,,,,,,,1,,,,,,1,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hathaway/Sycamores Child/Family Servs,5100 South Eastern Avenue,Los Angeles,90040,Los Angeles,323-837-0838,Intakes,http://Hathaway-Sycamores.org,33.9887043,-118.1604996,1,,,,,,,1,,1,1,,1,,1,1,1,,,1,,1,,,,,1,,,,,,,,1,1,,,,1,1,1,1,1,1,,1,,1,,,,1,1,1,,,,,1,,,1,1,,,1,,,,,1,1,,1,1,,,1,,,,,,,,1,1,,,,,,1,1,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
