name1,street1,city,zip,county,phone,intake_prompt,website,latitude,longitude,mh,psy,rtcc,rtca,ores,ph,omh,cmhc,msmh,ipt,cft,gt,cbt,dbt,bmt,idd,tt,at,ect,tele,smon,smpd,smop,hi,res,phdt,op,vamc,sma,osg,lmg,tbg,ih,sf,md,mc,si,pi,mi,smha,swfs,scjj,sef,osf,clf,csbg,cmhg,vaf,cit,wi,ss,pa,ah,sp,co,gl,vet,adm,mf,cj,se,hv,trma,sed,smi,alz,ptsd,tbi,tay,ped,act,icm,cm,cdm,peer,coot,dec,es,fpsy,hs,imr,ipc,lad,nrt,nsc,prs,stu,sps,semp,sh,tpc,tcc,vrs,chld,yad,adlt,snr,itu,pvtp,pvtn,fqhc,vo,sumh,ccbhc,chlor,drope,fluph,halop,loxap,perph,pimoz,proch,thiot,thior,trifl,aripi,asena,brexp,carip,cloza,ilope,luras,olanz,olanzf,palip,queti,rispe,zipra,crt,emdr,kit,tms,peon,peoff,fg,pcf,dv,pefp,hivt,shb,shc,stdt,tbs,aot,ptm,msnh,f17,f19,f25,f28,f30,f31,f35,f36,f37,f4,f42,f43,f47,f66,f67,f70,f81,f92,n13,n18,n23,n24,n40
Resilience Treatment Center,10780 Santa Monica Boulevard,Los Angeles,90025,Los Angeles,800-693-9100,,http://resiliencetreatment.com,34.050292,-118.4339714,1,,,,,1,,,,1,1,1,1,1,,,,,,1,,1,,,1,1,1,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,,,,1,,1,,,,,,1,1,1,,1,1,,,,1,,1,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Discovery Mood and Anxiety Program,9844 Pangborn Avenue,Downey,90240,Los Angeles,866-457-5205,,http://discoverymood.com/locations/downey/,33.9446129,-118.1026357,1,,1,,,,,,,1,1,1,1,1,1,1,1,1,,,1,,,,1,,,,,,,,,1,,,1,1,1,1,1,,1,1,1,,,,,,,,,,,1,,,,,,,1,1,,,1,,,,,,,,,,1,,1,,,1,,,,,,,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silicon Beach Treatment Center,8929 South Sepulveda Boulevard,Los Angeles,90045,Los Angeles,833-527-3422,,http://www.siliconbeachtx.com,33.9549428,-118.3965314,1,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,,1,,,,1,1,,,,,,,1,,,,1,,,,,,,,,,,1,,,,,,1,1,1,,,,,1,1,,,,1,,,1,1,1,1,,1,1,1,1,1,1,,1,,,1,1,,1,1,,,,1,,1,1,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Edelman Westside Mental Health Ctr,11080 West Olympic Boulevard,Los Angeles,90064,Los Angeles,310-966-6500,Intake,http://,34.0401449,-118.4374396,1,,,,,,1,,,1,,1,1,1,,1,1,,,1,,1,,,,,1,,,,1,,,1,1,1,1,,,1,,,,,1,,,,1,1,,,1,1,1,,,,,,1,,1,,1,,1,,1,,,,1,,1,,1,1,1,1,1,,,1,1,,1,1,1,1,,1,,,1,1,1,,,,,,1,,1,,1,1,1,1,1,,1,,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,,,,1,,,,,1,1,1,,,,,,,,1,,,,1,,,,,,1,,,1,,1,,,,,
Westside Treatment,11150 West Olympic Boulevard,Los Angeles,90064,Los Angeles,888-995-7687,,http://www.westsidetreatment.com,34.039169,-118.4388699,1,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,,1,,,,1,1,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,1,,1,,1,,1,,1,,1,1,1,,,,1,,1,1,,,,,,,,,,,,,,,1,1,1,,1,,,,1,,1,,,,1,1,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Clearview Treatment Programs,1334 Westwood Boulevard,Los Angeles,90024,Los Angeles,800-573-0770,,http://www.clearviewtreatment.com,34.05639,-118.441993,1,,,,,,1,,,1,1,1,1,1,1,1,1,,,,,1,,,,1,1,,,,,,,1,,,,1,,,,,,,,,,1,,,1,,,,1,,,,,,,,1,,,,1,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Resnick Neuropsychiatric Hospital at,150 Westwood Plaza,Los Angeles,90095,Los Angeles,310-825-0511,Intake,http://www.uclahealth.org/resnick/,34.0727933,-118.4447896,1,1,,,,,,,,1,,1,1,1,1,1,,1,1,1,1,,,1,,1,1,,,,,,,1,1,1,1,1,1,1,1,1,,1,1,,,1,,,,,1,1,,,,,,,,,,,,1,,,,1,,,1,,,,,1,1,,1,1,,1,1,1,1,1,,,,,,1,1,1,1,,,1,,,1,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pacific Clinics,11731 Telegraph Road,Santa Fe Springs,90670,Los Angeles,562-942-8256,Intake,http://,33.9470957,-118.0832347,1,,,,,,1,,,1,1,1,1,,1,1,1,,,1,,1,,,,,1,,,,,,,,,1,1,,,1,,,,1,1,,,,,,,1,1,1,1,1,,,,,,,1,1,1,,1,,1,,,1,1,,1,1,,1,1,1,,1,,,,1,1,1,1,1,1,1,1,1,1,,,,,1,,,1,,,,,1,1,,,,,,,1,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAT Intensive Outpatient Programs,4551 Glencoe Avenue,Marina del Rey,90292,Los Angeles,310-572-7000,,http://www.lifeadjustmentteam.com,33.9835135,-118.4336071,1,,,,,,1,,,1,,1,1,1,1,1,1,1,,1,,1,,,,,1,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,1,1,,,,,,,,,,,1,,,,,,,,1,1,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Fe Springs VA Clinic,10330 Pioneer Boulevard,Santa Fe Springs,90670,Los Angeles,562-347-2200,,http://www.longbeach.va.gov/locations/Whittier_Santa_Fe_Springs_Clinic.asp,33.9424757,-118.0813118,1,,,,,,,,,1,,1,1,,1,1,1,1,,1,,1,,,,,1,1,,,,,,,,,,1,,,,,,,,,,1,1,,,,1,,,,1,,,,,,,,,,1,1,,,,,,,,,1,,,,,,,1,1,,1,1,,,,1,,,1,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Star View Community Services,1303 West Walnut Parkway,Compton,90220,Los Angeles,310-868-5379 x170,Intake,http://www.starsinc.com/los-angeles-county/,33.8777089,-118.2441767,1,,,,,,1,,,1,1,1,1,,1,,1,,,1,,1,,,,,1,,,,,,,,1,,1,,,1,1,1,1,1,1,,,,1,,,1,1,1,,,,,,,,,1,1,,,1,,1,,,1,1,1,,1,,,1,,,,,,,1,1,1,,,,,,1,1,1,,,1,,,,1,,,,,,,,,,,,,1,,,,,,1,1,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Discovery Mood and Anxiety Program,11911 Washington Boulevard,Whittier,90606,Los Angeles,866-457-5205,,http://discoverymood.com/locations/whittier/,33.9692961,-118.0578284,1,,1,,,,,,,1,1,1,1,1,1,1,1,1,,,1,,,,1,,,,,,,,,1,,,1,1,1,1,1,,1,1,1,,,,,,,,,,,1,,,,,,,1,1,,,1,,,,,,,,,,1,,1,,,1,,,,,,,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VA Greater LA Healthcare System,11301 Wilshire Boulevard,Los Angeles,90073,Los Angeles,310-478-3711,,http://www.losangeles.va.gov,34.0546036,-118.4547279,1,,,,,,,,,1,1,1,1,1,1,1,1,1,,1,,1,,1,1,1,1,1,,,,,,1,1,1,,,1,,,,,,,,,1,1,1,,,1,1,1,1,1,,,1,1,1,1,,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,,1,1,,1,1,1,,,,,1,1,,1,,1,1,,,1,1,1,1,,1,1,1,,1,1,1,1,1,1,1,1,1,,,1,1,1,,,,1,1,1,1,1,1,1,,,,,,,1,,,,,,,,,1,,,,,,,,,,
Whole Child,12225 Beverly Boulevard,Whittier,90601,Los Angeles,562-236-4695,Intake,http://www.thewholechild.org,33.9884484,-118.0462818,1,,,,,,1,,,1,1,1,1,,1,,1,,,,1,,,,,,1,,,,,,,,1,,,,,,,,,1,1,1,,,,,,,,1,,,,,,,,,1,1,,,1,,,,,,1,,,1,1,,1,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clearview Womens Center,2474 Glyndon Avenue,Venice,90291,Los Angeles,800-573-0770,,http://www.clearviewwomenscenter.com/,33.994165,-118.447554,1,,,1,,,,,,1,1,1,1,1,1,1,1,,,,,1,,,1,,,,,,,,,1,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,1,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Star View Community Services,649 East Albertoni Street,Carson,90746,Los Angeles,310-436-9300,Intake,http://www.starsinc.com/star-view-community-services/tay-hot-spot/,33.8724933,-118.264311,1,,,,1,,,,,1,1,1,1,,1,,1,,,,,1,,,1,,,,,,,,,,1,,1,1,,1,1,1,1,1,1,,,,1,,,,,1,,,,,,,1,,1,1,,,1,,1,,,1,1,1,1,1,,,1,,,,,,,1,1,1,,,,,,1,1,1,,,1,,,,1,,,,,,,,,,,,,1,,,,,,1,1,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whole Child,12417 Philadelphia Street,Whittier,90601,Los Angeles,562-692-0383,,http://www.thewholechild.org,33.9798181,-118.0441169,1,,,,,,1,,,1,1,,1,,1,,1,,,,1,,,,,,1,,,,,,,,1,,,,,,,,,1,1,1,,,,,,,,1,,,,,,,,,1,1,,,1,,1,,,,1,,,1,1,,1,,,,,,,,,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bayfront Youth and Family Services,16444 Paramount Boulevard,Paramount,90723,Los Angeles,562-788-7252,,http://www.bayfrontyfs.org,33.8848647,-118.1597186,1,,,,,,1,,,1,1,1,1,,1,1,1,1,,1,1,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,1,,,,1,1,1,,,,1,1,,1,1,1,,1,,1,,,1,1,,1,,,,1,,,,,,,1,,1,,,,,,1,1,1,1,,,1,,,1,,,,,1,,,,,,,,1,,,,1,,,,,,1,1,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,,,
Casitas Esperanza,11927 Elliott Avenue,El Monte,91732,Los Angeles,626-350-5304 x526,Intakes,http://www.bridgesrehab.org,34.0580976,-118.0259091,1,,,1,,,,,,1,,,,,,,1,,,1,1,,,,1,,,,,,,,,1,1,1,1,1,,1,1,,,,1,,,,,,,1,,1,1,,,,,,,,1,,1,,,,,,,,1,,1,,,,,1,,,,,,1,,1,,,,1,,,1,1,,,,1,,,,,,,,1,1,,,,,,,1,,1,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guidance Center,901 West Victoria Street,Compton,90220,Los Angeles,310-669-9510,,http://www.tgclb.org/,33.86779,-118.239012,1,,,,,,,1,,1,1,1,1,1,,1,1,,,1,,1,,,,,1,,,,,,,1,,,,,,1,1,,1,,1,,,,,,,,,1,,1,,,,,,,1,1,,,1,,1,,,1,1,1,,1,,,1,,,,,,,1,,,1,,,,1,1,1,1,,,,1,,,,,1,,,,,,,,,,,1,,,,1,,,1,,,1,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Help Group,13130 Burbank Boulevard,Van Nuys,91401,Los Angeles,818-781-0360,Intake,http://www.thehelpgroup.org,34.1718143,-118.4192274,1,,,,,,,,1,1,1,1,1,1,1,,1,1,,1,,1,,,1,1,1,,,,,,,1,1,,1,,,,1,,,,,,,,,,,,1,1,,1,,,,,,,1,1,,,1,,1,1,,,1,,1,,,1,1,,,,,,,1,,,1,,,,1,1,1,1,,,,1,,,,,,,,,,,,,,,,1,,,,,,,1,,,1,1,,,,,,,,,,,1,,,,,,,,,1,,1,1,,,1,,,1,,1,,1,,1,1,,,,,,
Evolve Treatment Centers,820 Moraga Drive,Los Angeles,90049,Los Angeles,800-859-9052,,http://evolvetreatment.com/locations/bel-air-brentwood/?utm_source=SAMHSA,34.0781333,-118.4685677,1,,,,,1,,,,1,1,1,1,1,1,1,1,1,,1,1,,,,,1,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,1,1,,,,,1,1,,,,,,,,,1,,,,,,1,,,,,1,,,,1,,,,,,,,,,,,,1,,1,1,,,1,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arcadia Mental Health Center,330 East Live Oak Avenue,Arcadia,91006,Los Angeles,626-254-1400,,http://,34.1083648,-118.0219294,1,,,,,,,1,,1,1,1,1,1,1,1,1,1,,1,,,1,,,,1,,,,1,,,1,1,1,1,1,,,,,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,,1,1,,1,,1,,1,,1,,,1,1,,,1,1,,1,1,,,,,,1,1,1,1,,,1,1,,1,1,1,,,,1,,1,,1,,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,,,1,,1,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,
Jewish Family Service of Los Angeles,12821 Victory Boulevard,North Hollywood,91606,Los Angeles,818-432-5025,,http://www.jfsla.org,34.186938,-118.41243,1,,,,,,1,,,1,1,1,1,,1,,1,,,1,,,1,,,,1,,,,,,,1,1,1,1,1,,1,,,,1,1,,,,,,,,,1,,,,,,,1,,1,,,,,,,,,1,1,,,,,,1,,,,,,,1,,1,,,,,,,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,1,,,,,,,,,1,,,,,,,
Insight Treatment Programs ,115 Main Street,El Segundo,90245,Los Angeles,800-599-8820,Intake,http://www.insighttreatment.com,33.917064,-118.416133,1,,,,,,1,,,1,1,1,1,1,1,1,1,1,,1,1,,,,,1,1,,,,,,,1,,,,1,1,,,,1,,,,,,1,,,,,,1,1,,,1,,,,1,1,,,1,,1,1,1,1,1,,1,1,,1,1,,1,,,,,1,1,1,,,,,,1,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Family Service of Santa Monica,1533 Euclid Street,Santa Monica,90404,Los Angeles,310-451-9747,,http://www.vistadelmar.org/,34.021422,-118.4840013,1,,,,,,,1,,1,1,1,1,,,,1,,,1,1,,,,,,1,,,,,,,1,1,,,1,,,1,,,,1,,,,,,,,,1,1,1,,,,,1,,1,1,1,,1,,1,1,,1,1,,,1,,,1,,,,,,,,,1,,,,,,1,1,1,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clear Inc,18123 Prairie Avenue,Torrance,90504,Los Angeles,877-779-1985,,http://www.clearrecoverycenter.com,33.8662157,-118.3438179,1,,,,,1,,,,1,1,1,1,1,1,1,1,1,,1,,1,,,,1,1,,,,,,,1,,,,1,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,1,,,,1,,1,,1,,1,,,,,,,,,1,1,1,,,,,1,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Counseling4Kids,20101 Hamilton Avenue,Torrance,90502,Los Angeles,310-817-2177,,http://www.counseling4kids.org,33.8482792,-118.2876517,1,,,,,,,1,,1,1,1,1,1,1,1,1,,,1,,1,,,,,1,,,,,,,1,1,,,,,,1,,,,1,,,,,,,,,1,1,1,,,,,,,1,1,,,1,,,,,,1,,,1,,,1,,,,,,,1,,,,,,,,1,1,,,,,1,,,1,,1,,,,,,,,,,,1,,1,1,1,,1,1,1,,1,1,1,,,,,,,,,,1,,,,,,,,,,,1,,,,1,,,,,,,,,,1,,,,,,
Childrens Bureau of Southern CA,460 East Carson Plaza Drive,Carson,90746,Los Angeles,310-523-9500 x202,Intake,http://www.all4kids.org,33.8458711,-118.266869,1,,,,,,1,,,1,1,1,1,,1,,1,,,1,1,,,,,,1,,,,,,,,1,,1,,,1,,,,,1,,,,,,,,,1,,1,,,,,,,1,1,,,1,,1,,,,1,,,1,,,1,,,,,,,1,,1,,,,,,1,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tarzana Treatment Centers Inc,5190 Atlantic Avenue,Long Beach,90805,Los Angeles,818-996-1051,,http://www.tarzanatc.org,33.8508284,-118.1838961,1,,,,,,,,1,,1,1,1,,,1,,1,,,,1,,,,1,1,,,,,,,1,1,1,,1,,,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,,,,1,,1,,,,,1,,,,,,1,1,,,,1,1,1,,,,,,1,,,1,,,,1,,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern CA Hospital at Van Nuys,14433 Emelita Street,Van Nuys,91401,Los Angeles,818-787-1511,Intake,http://sch-vannuys.com,34.1769578,-118.4475697,1,1,,,,,,,,1,1,1,1,,,,,1,,,,1,,1,,,1,,,,,,,1,1,1,,1,1,,,,,,,,,1,1,1,,,1,,,,,,,,,,,,1,,,,,,,,1,,,,1,,1,,,,,1,,1,1,1,,,,1,,,1,1,1,,1,,,,1,,1,,1,1,,1,,,,,1,1,,,,1,,1,1,1,1,1,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clear Inc,515 North Sepulveda Boulevard,Manhattan Beach,90266,Los Angeles,877-799-1985,,http://www.clearrecoverycenter.com,33.8824287,-118.3964532,1,,,,,1,,,,1,1,1,1,1,1,1,1,1,,1,,1,,,,1,1,,,,,,,1,,,,1,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,1,,,,1,,1,,1,,1,,,,,,,,,1,1,1,,,,,1,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eggleston Youth Centers Inc,13001 Ramona Boulevard,Baldwin Park,91706,Los Angeles,626-214-9016,Intake,http://www.egglestonyouthcenter.org,34.0802044,-117.9897876,1,,,,,,1,,,1,1,1,1,1,1,1,1,1,,1,,1,,,,,1,,,,,,,,1,,1,,,,1,,,,1,,,,1,,,,1,1,1,1,1,,,,,1,1,1,,,1,,1,,,,1,,1,1,,,1,,,,,,,1,,1,,,,,,1,1,1,,,,1,,,1,,1,,1,1,1,1,,,1,1,1,1,,,,1,1,1,1,,,1,1,1,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Family Resource Center,13001 Ramona Boulevard,Baldwin Park,91706,Los Angeles,626-373-2900,Intake,http://www.hillsides.org,34.0802044,-117.9897876,1,,,,,,1,,,1,1,1,,,1,1,1,,,1,,1,,,,,1,,,,,,,,1,,,1,,1,1,,,,1,,,,1,,,,,1,,1,,,1,,1,,1,1,1,,1,,1,,,1,1,,,1,,,,,,,1,,,1,1,1,1,,1,,,1,1,1,1,,,1,,,1,,,,,,,,,,,,,1,,,,,,1,1,,,1,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Pacific Counseling and,11050 Artesia Boulevard,Cerritos,90703,Los Angeles,562-860-8838,,http://www.apctc.org,33.872528,-118.097898,1,,,,,,1,,,1,1,1,1,,,,1,,,1,1,,,,,,1,,,,,,,1,1,1,,,,1,1,,,1,1,,,,1,,,,,1,1,,,,,,1,,1,1,1,,1,,1,,,,1,,,,,,1,1,,,,,,1,,,,,,,1,1,1,1,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,1,,,,1,,,,,,
Rio Hondo Mental Health Center,17707 Studebaker Road,Cerritos,90703,Los Angeles,562-402-0688,,http://dmh.lacounty.gov/,33.8702156,-118.0995573,1,,,,,,1,,,1,,1,1,1,1,1,1,1,,1,,1,,,,,1,,,,1,,,1,1,1,1,,,1,,,,1,1,,,,1,1,,,1,1,1,1,,,,,1,,1,,1,,1,,1,,,1,1,,1,,,,1,1,,1,,,,1,1,1,1,,,,,,1,1,1,,,,,,1,,1,,1,1,1,1,,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,1,,1,,,,,1,,1,,,,,,,1,,,,,,
Star View Community Services,370 South Crenshaw Boulevard,Torrance,90503,Los Angeles,310-787-1500,,http://www.starsinc.com/los-angeles-county/,33.845529,-118.3276568,1,,,,,,1,,,1,1,1,1,,1,,1,,,1,,1,,,,,1,,,,,,,,1,,1,1,,1,1,1,1,1,1,,,,1,,,1,1,1,,,,,,,,,1,1,1,,1,,1,,,1,1,1,,1,,,1,,,,,,,1,1,1,,,,,,1,1,1,,,1,,1,,1,,,,,,,,,,,,,1,,,,,,1,1,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care Center,2335 Mountain Avenue,Duarte,91010,Los Angeles,626-357-3207 x225,Intake,http://,34.1227709,-117.9907026,1,,,1,,,,,,1,,1,1,1,1,1,,1,,,,1,,,1,,,,,,,,,1,,,,,,1,,,,,,,,1,,,,,,,1,1,1,,,1,,1,1,,1,,1,1,1,,,,,,,1,,1,,,,,,,,1,,,,,,,1,,1,1,1,,1,,,,1,,1,,1,1,,1,,,,,,1,,,,1,,1,1,,1,1,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whole Child,10155 Colima Road,Whittier,90603,Los Angeles,562-692-0383,,http://www.thewholechild.org,33.9436117,-118.0108918,1,,,,,,1,,,1,1,1,1,,1,,1,,,,1,,,,,,1,,,,,,,,1,,,,,,,,,1,1,1,,,1,,,,,1,,,,,,,,,1,1,1,,1,,1,,1,1,1,,,1,1,,1,1,,,,,,,,,,,,,,1,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aviva Family and Childrens Services,5900 Sepulveda Boulevard,Van Nuys,91411,Los Angeles,818-980-3200,,http://www.aviva.org,34.1775417,-118.4655644,1,,,,,,1,,,1,1,1,1,1,,,1,,,,,1,,,,,1,,,,,,,1,1,,1,1,,1,1,,,,,1,1,,1,,1,1,,1,,1,,,,,,,1,1,,,1,,1,,,,1,,,1,,,1,,,,,,,1,,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,1,1,,,1,,1,1,,1,1,1,1,,,,,,,,1,1,1,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,
Comprehensive Psychiatric Services,16000 Ventura Boulevard,Encino,91436,Los Angeles,925-944-9711,,http://www.psych-doctor.com,34.1558861,-118.4819255,1,,,,,,1,,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,1,,,,,,,1,,1,,1,1,,,,,,,,,1,,1,1,,,1,1,1,1,1,1,1,1,1,,1,,1,1,1,1,,1,,,,,1,,,,,,,,,,,1,1,,,,,,1,1,1,1,,1,,,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,,,,,,,,,,,1,,,1,1,1,1,,,1,1,,1,,,,,1,1,1,,,,,,
PACS,6931 Van Nuys Boulevard,Van Nuys,91405,Los Angeles,818-989-9214,Intake,http://www.pacsla.org,34.1964998,-118.4492095,1,,,,,,1,,,1,1,,1,,1,1,1,1,,1,,,1,,,,1,,,,,,,,,,1,,,1,,,,1,1,1,1,,1,,,,,1,1,,,,,1,1,,,1,1,,1,,1,,,1,1,,1,1,,1,1,1,,,,,,1,1,1,,1,1,,,1,1,1,,,,1,,,1,,,,,,,1,,,,,,1,,,,1,,,1,1,1,1,1,,,,,,,1,,1,,,,,,,,1,,,1,,,,,,,,,1,,1,1,,,,1,1,,,,,
Star View Community Services,1501 Hughes Way,Long Beach,90807,Los Angeles,562-427-6818,,http://www.starsinc.com/los-angeles-county/,33.8289574,-118.212868,1,,,,,,1,,,1,1,1,1,,1,,1,,,,,1,,,,,1,,,,,,,,1,,1,1,,1,1,1,1,1,1,,,,1,,,,,1,,,,,,,,,1,1,,,1,,1,,,1,1,1,,1,,,1,,,,,,,1,1,1,,,,,,1,1,1,,,1,,1,,1,,,,,,,,,,,,,1,,,,,,1,1,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harbor UCLA Medical Center,1000 West Carson Street,Torrance,90502,Los Angeles,424-306-6333,Intake,http://www.harbor-ucla.org,33.8307253,-118.2918447,1,1,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,1,,,1,,,,1,,,1,1,1,1,1,1,1,,,,1,1,,,,1,1,,,,1,,,,,,,,,,,1,,,,,,1,1,1,1,1,,,,1,1,1,1,,1,1,1,1,1,,,,1,1,,1,1,1,,,,,,1,,1,,1,1,1,,,1,1,1,,1,,1,,1,1,1,1,,1,1,1,1,,,,1,1,,,,,,1,1,1,1,1,1,,,1,,1,1,,,1,,,,,1,1,,1,1,1,1,,,,,
